行号,job_company,job_persons,job_salary
0,跨越新科技      ,10000人以上   ,25k-40k   
1,水滴筹        ,1000-9999人 ,25k-50k   
2,蚂蚁金服       ,10000人以上   ,30k-60k   
3,安居客        ,10000人以上   ,20k-40k   
4,京东世纪贸易有限公司 ,10000人以上   ,25k-50k   
5,今日头条       ,10000人以上   ,15k-30k   
6,VIPKID     ,10000人以上   ,30k-60k   
7,饿了么        ,10000人以上   ,25k-50k   
8,Boss直聘     ,1000-9999人 ,80k-110k  
9,云校         ,1000-9999人 ,25k-50k   
10,马蜂窝        ,1000-9999人 ,25k-50k   
11,当当         ,1000-9999人 ,25k-50k   
12,同方威视       ,1000-9999人 ,14k-15k   
13,今日头条       ,10000人以上   ,25k-50k   
14,Testin云测   ,500-999人   ,20k-40k   
15,三一集团       ,10000人以上   ,50k-80k   
16,直真科技       ,500-999人   ,20k-30k   
17,58到家       ,1000-9999人 ,23k-35k   
18,茂逊         ,500-999人   ,15k-30k   
19,水滴筹        ,1000-9999人 ,25k-50k   
20,Boss直聘     ,1000-9999人 ,20k-40k   
21,今日头条       ,10000人以上   ,20k-40k   
22,旷视科技       ,1000-9999人 ,20k-40k   
23,北京千喜鹤      ,10000人以上   ,25k-35k   
24,58集团       ,10000人以上   ,30k-50k   
25,丽晶美成       ,20-99人     ,25k-50k   
26,今日头条       ,10000人以上   ,20k-40k   
27,阿里巴巴集团     ,10000人以上   ,25k-50k   
28,蛋壳公寓       ,1000-9999人 ,30k-60k   
29,瑞幸咖啡       ,10000人以上   ,30k-40k   
30,滴滴出行       ,10000人以上   ,25k-50k   
31,Boss直聘     ,1000-9999人 ,20k-40k   
32,汽车之家       ,1000-9999人 ,30k-35k   
33,小药药        ,1000-9999人 ,30k-50k   
34,达达-京东到家    ,1000-9999人 ,25k-50k   
35,今日头条       ,10000人以上   ,30k-50k   
36,微软中国       ,10000人以上   ,20k-40k   
37,闪送科技       ,500-999人   ,20k-40k   
38,随行付金科      ,100-499人   ,25k-40k   
39,泛阿网络       ,100-499人   ,20k-35k   
40,物联顺通       ,100-499人   ,20k-40k   
41,旷视科技       ,1000-9999人 ,30k-50k   
42,去哪儿        ,1000-9999人 ,20k-40k   
43,华清科盛       ,100-499人   ,25k-35k   
44,锋巢信息       ,100-499人   ,25k-50k   
45,华为         ,10000人以上   ,25k-40k   
46,思源互联科技     ,1000-9999人 ,30k-50k   
47,魔力耳朵       ,500-999人   ,40k-60k   
48,泛阿网络       ,100-499人   ,27k-40k   
49,今日头条       ,10000人以上   ,20k-40k   
50,京东数字科技     ,1000-9999人 ,30k-60k   
51,小鹏汽车       ,1000-9999人 ,6k-7k     
52,BOE        ,10000人以上   ,25k-35k   
53,京东集团       ,10000人以上   ,30k-60k   
54,恒润科技       ,1000-9999人 ,10k-15k   
55,小药药        ,1000-9999人 ,40k-70k   
56,合伙猫        ,500-999人   ,30k-60k   
57,清华同方       ,10000人以上   ,30k-60k   
58,威马汽车       ,1000-9999人 ,30k-40k   
59,三一集团       ,10000人以上   ,50k-80k   
60,停简单        ,500-999人   ,20k-40k   
61,国美在线       ,10000人以上   ,20k-40k   
62,量化派        ,100-499人   ,15k-25k   
63,今日头条       ,10000人以上   ,25k-50k   
64,北京新氧万维     ,500-999人   ,25k-50k   
65,落角         ,100-499人   ,30k-60k   
66,海致BDP      ,100-499人   ,15k-25k   
67,四维图新       ,1000-9999人 ,15k-25k   
68,河狸家        ,500-999人   ,70k-100k  
69,百度         ,10000人以上   ,30k-35k   
70,Boss直聘     ,1000-9999人 ,30k-50k   
71,今日头条       ,10000人以上   ,25k-50k   
72,百融金服       ,500-999人   ,20k-40k   
73,界面网        ,100-499人   ,20k-40k   
74,北京泰豪       ,500-999人   ,15k-30k   
75,茄子快传       ,100-499人   ,30k-60k   
76,百度         ,10000人以上   ,20k-40k   
77,OPPO       ,10000人以上   ,30k-60k   
78,创奇视界       ,0-20人      ,18k-25k   
79,大汉正源       ,0-20人      ,20k-40k   
80,河狸家        ,500-999人   ,30k-50k   
81,百科名医       ,20-99人     ,18k-30k   
82,BOE        ,10000人以上   ,12k-24k   
83,映客直播       ,500-999人   ,25k-35k   
84,今日头条       ,10000人以上   ,25k-50k   
85,下厨房        ,100-499人   ,15k-25k   
86,清华同方       ,10000人以上   ,30k-60k   
87,量化派        ,100-499人   ,12k-18k   
88,伊甸工程设计     ,500-999人   ,25k-50k   
89,弘道智慧中医     ,100-499人   ,18k-35k   
90,BOE        ,10000人以上   ,12k-24k   
91,映客直播       ,500-999人   ,25k-35k   
92,今日头条       ,10000人以上   ,25k-50k   
93,量化派        ,100-499人   ,12k-18k   
94,伊甸工程设计     ,500-999人   ,25k-50k   
95,清华同方       ,10000人以上   ,30k-60k   
96,雪球公司       ,100-499人   ,30k-60k   
97,河狸家        ,500-999人   ,30k-50k   
98,嘉楠捷思       ,100-499人   ,50k-80k   
99,联合创展       ,100-499人   ,25k-50k   
100,今日头条       ,10000人以上   ,20k-40k   
101,vivo       ,10000人以上   ,35k-65k   
102,落角         ,100-499人   ,30k-60k   
103,中通天鸿       ,100-499人   ,20k-30k   
104,人人云图       ,20-99人     ,8k-13k    
105,汽车之家       ,1000-9999人 ,20k-40k   
106,宽凳科技       ,100-499人   ,25k-50k   
107,VIPKID     ,10000人以上   ,35k-60k   
108,云数启源       ,500-999人   ,35k-45k   
